District,Mandal,Date,Rainfall_mm
Adilabad,Bheempoor,2017-06-01,0.0
Adilabad,Bheempoor,2017-06-02,0.0
Adilabad,Bheempoor,2017-06-03,4.5
Adilabad,Bheempoor,2017-06-04,0.0
Adilabad,Bheempoor,2017-06-05,8.8
Adilabad,Bheempoor,2017-06-06,0.0
Adilabad,Bheempoor,2017-06-07,2.8
Adilabad,Bheempoor,2017-06-08,0.3
Adilabad,Bheempoor,2017-06-09,0.0
Adilabad,Bheempoor,2017-06-10,0.0
Adilabad,Bheempoor,2017-06-11,0.0
Adilabad,Bheempoor,2017-06-12,0.0
Adilabad,Bheempoor,2017-06-13,13.2
Adilabad,Bheempoor,2017-06-14,2.0
Adilabad,Bheempoor,2017-06-15,0.0
Adilabad,Bheempoor,2017-06-16,24.4
Adilabad,Bheempoor,2017-06-17,3.8
Adilabad,Bheempoor,2017-06-18,0.0
Adilabad,Bheempoor,2017-06-19,0.0
Adilabad,Bheempoor,2017-06-20,0.0
Adilabad,Bheempoor,2017-06-21,11.8
Adilabad,Bheempoor,2017-06-22,0.8
Adilabad,Bheempoor,2017-06-23,20.0
Adilabad,Bheempoor,2017-06-24,16.0
Adilabad,Bheempoor,2017-06-25,0.0
Adilabad,Bheempoor,2017-06-26,0.0
Adilabad,Bheempoor,2017-06-27,3.3
Adilabad,Bheempoor,2017-06-28,21.3
Adilabad,Bheempoor,2017-06-29,0.0
Adilabad,Bheempoor,2017-06-30,0.0
Adilabad,Bheempoor,2017-07-01,7.0
Adilabad,Bheempoor,2017-07-02,0.5
Adilabad,Bheempoor,2017-07-03,12.0
Adilabad,Bheempoor,2017-07-04,21.0
Adilabad,Bheempoor,2017-07-05,2.0
Adilabad,Bheempoor,2017-07-06,8.0
Adilabad,Bheempoor,2017-07-07,0.0
Adilabad,Bheempoor,2017-07-08,0.0
Adilabad,Bheempoor,2017-07-09,0.0
Adilabad,Bheempoor,2017-07-10,0.0
Adilabad,Bheempoor,2017-07-11,6.5
Adilabad,Bheempoor,2017-07-12,4.5
Adilabad,Bheempoor,2017-07-13,12.2
Adilabad,Bheempoor,2017-07-14,1.8
Adilabad,Bheempoor,2017-07-15,4.8
Adilabad,Bheempoor,2017-07-16,11.5
Adilabad,Bheempoor,2017-07-17,13.3
Adilabad,Bheempoor,2017-07-18,0.0
Adilabad,Bheempoor,2017-07-19,12.0
Adilabad,Bheempoor,2017-07-20,0.0
Adilabad,Bheempoor,2017-07-21,12.2
Adilabad,Bheempoor,2017-07-22,0.0
Adilabad,Bheempoor,2017-07-23,0.0
Adilabad,Bheempoor,2017-07-24,0.0
Adilabad,Bheempoor,2017-07-25,0.0
Adilabad,Bheempoor,2017-07-26,0.5
Adilabad,Bheempoor,2017-07-27,10.5
Adilabad,Bheempoor,2017-07-28,0.0
Adilabad,Bheempoor,2017-07-29,0.0
Adilabad,Bheempoor,2017-07-30,0.0
Adilabad,Bheempoor,2017-07-31,0.0
Adilabad,Bheempoor,2017-08-01,0.3
Adilabad,Bheempoor,2017-08-02,0.0
Adilabad,Bheempoor,2017-08-03,0.0
Adilabad,Bheempoor,2017-08-04,0.5
Adilabad,Bheempoor,2017-08-05,1.0
Adilabad,Bheempoor,2017-08-06,0.3
Adilabad,Bheempoor,2017-08-07,0.0
Adilabad,Bheempoor,2017-08-08,0.0
Adilabad,Bheempoor,2017-08-09,0.0
Adilabad,Bheempoor,2017-08-10,2.0
Adilabad,Bheempoor,2017-08-11,0.0
Adilabad,Bheempoor,2017-08-12,0.8
Adilabad,Bheempoor,2017-08-13,0.0
Adilabad,Bheempoor,2017-08-14,35.4
Adilabad,Bheempoor,2017-08-15,6.3
Adilabad,Bheempoor,2017-08-16,0.0
Adilabad,Bheempoor,2017-08-17,0.0
Adilabad,Bheempoor,2017-08-18,0.0
Adilabad,Bheempoor,2017-08-19,9.2
Adilabad,Bheempoor,2017-08-20,26.4
Adilabad,Bheempoor,2017-08-21,22.2
Adilabad,Bheempoor,2017-08-22,4.2
Adilabad,Bheempoor,2017-08-23,0.0
Adilabad,Bheempoor,2017-08-24,0.0
Adilabad,Bheempoor,2017-08-25,29.6
Adilabad,Bheempoor,2017-08-26,13.5
Adilabad,Bheempoor,2017-08-27,0.0
Adilabad,Bheempoor,2017-08-28,0.0
Adilabad,Bheempoor,2017-08-29,5.0
Adilabad,Bheempoor,2017-08-30,0.8
Adilabad,Bheempoor,2017-08-31,0.0
Adilabad,Bheempoor,2017-09-01,0.0
Adilabad,Bheempoor,2017-09-02,0.0
Adilabad,Bheempoor,2017-09-03,0.0
Adilabad,Bheempoor,2017-09-04,2.3
Adilabad,Bheempoor,2017-09-05,0.0
Adilabad,Bheempoor,2017-09-06,0.0
Adilabad,Bheempoor,2017-09-07,0.0
Adilabad,Bheempoor,2017-09-08,12.2
Adilabad,Bheempoor,2017-09-09,0.0
Adilabad,Bheempoor,2017-09-10,0.0
Adilabad,Bheempoor,2017-09-11,0.0
Adilabad,Bheempoor,2017-09-12,0.0
Adilabad,Bheempoor,2017-09-13,1.5
Adilabad,Bheempoor,2017-09-14,36.0
Adilabad,Bheempoor,2017-09-15,13.2
Adilabad,Bheempoor,2017-09-16,2.0
Adilabad,Bheempoor,2017-09-17,0.0
Adilabad,Bheempoor,2017-09-18,0.3
Adilabad,Bheempoor,2017-09-19,7.8
Adilabad,Bheempoor,2017-09-20,0.0
Adilabad,Bheempoor,2017-09-21,0.0
Adilabad,Bheempoor,2017-09-22,0.0
Adilabad,Bheempoor,2017-09-23,0.0
Adilabad,Bheempoor,2017-09-24,0.0
