Placeholder,District,Mandal
Mandal_District_1_1,Adilabad,Adilabad Rural
Mandal_District_1_2,Adilabad,Adilabad Urban
Mandal_District_1_3,Adilabad,Bazarhathnoor
Mandal_District_1_4,Adilabad,Bela
Mandal_District_1_5,Adilabad,Bheempoor
Mandal_District_1_6,Adilabad,Boath
Mandal_District_1_7,Adilabad,Gadiguda
Mandal_District_1_8,Adilabad,Gudihathnur
Mandal_District_1_9,Adilabad,Ichoda
Mandal_District_1_10,Adilabad,Inderavelly
Mandal_District_1_11,Adilabad,Jainad
Mandal_District_1_12,Adilabad,Mavala
Mandal_District_1_13,Adilabad,Narnoor
Mandal_District_1_14,Adilabad,Neradigonda
Mandal_District_1_15,Adilabad,Sirikonda
Mandal_District_1_16,Adilabad,Talamadugu
Mandal_District_1_17,Adilabad,Tamsi
Mandal_District_1_18,Adilabad,Utnur
Mandal_District_2_1,Bhadradri-Kothagudem,Allapalli
Mandal_District_2_2,Bhadradri-Kothagudem,Annapureddipalle
Mandal_District_2_3,Bhadradri-Kothagudem,Aswapuram
Mandal_District_2_4,Bhadradri-Kothagudem,Aswaraopeta
Mandal_District_2_5,Bhadradri-Kothagudem,Bhadrachalam
Mandal_District_2_6,Bhadradri-Kothagudem,Burgampadu
Mandal_District_2_7,Bhadradri-Kothagudem,Chandrugonda
Mandal_District_2_8,Bhadradri-Kothagudem,Cherla
Mandal_District_2_9,Bhadradri-Kothagudem,Chunchupally
Mandal_District_2_10,Bhadradri-Kothagudem,Dammapeta
Mandal_District_2_11,Bhadradri-Kothagudem,Dummugudem
Mandal_District_2_12,Bhadradri-Kothagudem,Gundala
Mandal_District_2_13,Bhadradri-Kothagudem,Julurpad
Mandal_District_2_14,Bhadradri-Kothagudem,Karakagudem
Mandal_District_2_15,Bhadradri-Kothagudem,Kothagudem
Mandal_District_2_16,Bhadradri-Kothagudem,Laxmidevipalli
Mandal_District_2_17,Bhadradri-Kothagudem,Manuguru
Mandal_District_2_18,Bhadradri-Kothagudem,Mulakalapalle
Mandal_District_2_19,Bhadradri-Kothagudem,Palawancha
Mandal_District_2_20,Bhadradri-Kothagudem,Pinapaka
Mandal_District_2_21,Bhadradri-Kothagudem,Sujathanagar
Mandal_District_2_22,Bhadradri-Kothagudem,Tekulapalle
Mandal_District_2_23,Bhadradri-Kothagudem,Yellandu
Mandal_District_3_1,Hyderabad,Amberpet
Mandal_District_3_2,Hyderabad,Ameerpet
Mandal_District_3_3,Hyderabad,Asifnagar
Mandal_District_3_4,Hyderabad,Bahadurpura
Mandal_District_3_5,Hyderabad,Bandlaguda
Mandal_District_3_6,Hyderabad,Charminar
Mandal_District_3_7,Hyderabad,Golkonda
